Target ID,Target Name,Priority Number,Site Center WKT,Mode
fossil0011,fossil_Dubai_UAE,44,POINT(55.30884000000003 25.26951000000003),Area Mapping Mode
texmex001,campaign_texmex_corpus_christi,45,POINT(-97.405904 27.809016),Area Mapping Mode
texmex004,campaign_texmex_lake_charles,46,POINT(-93.316006 30.125402),Area Mapping Mode
fossil0012,fossil_Wuxi_China,47,POINT(120.28857 31.56887000000006),Area Mapping Mode
texmex005,campaign_texmex_harrington_station,48,POINT(-101.739486 35.298973),Area Mapping Mode
fossil0013,fossil_Johannesburg_South_Africa,49,POINT(28.04006000000004 -26.20490999999993),Area Mapping Mode
fossil0014,fossil_Tehran_Iran,50,POINT(51.42151000000007 35.69439000000006),Area Mapping Mode
texmex006,campaign_texmex_fayette_station,51,POINT(-96.752407 29.908693),Area Mapping Mode
texmex007,campaign_texmex_WA_parish_station,52,POINT(-95.683079 29.492793),Area Mapping Mode
fossil0015,fossil_London_UK,53,POINT(-0.1272099999999341 51.50642000000005),Area Mapping Mode
texmex008,campaign_texmex_limestone_big_brown_stations,54,POINT(-96.144985 31.594193),Area Mapping Mode
fossil0016,fossil_Benha_Egypt,55,POINT(31.17858000000007 30.45906000000008),Area Mapping Mode
fossil0017,fossil_Beijing_China,56,POINT(116.39723 39.90750000000003),Area Mapping Mode
texmex009,campaign_texmex_martin_lake_pirkey_stations,57,POINT(-94.532219 32.34324),Area Mapping Mode
texmex010,campaign_texmex_baton_rouge,58,POINT(-91.172076 30.43348),Area Mapping Mode
fossil0018,fossil_Jakarta_Indonesia,59,POINT(106.8264800000001 -6.171479999999974),Area Mapping Mode
fossil0019,fossil_Al-Ahmadi_Kuwait,60,POINT(48.07602000000003 29.09426000000008),Area Mapping Mode
texmex012,campaign_texmex_fort_worth,61,POINT(-97.410847 32.740462),Area Mapping Mode
fossil0020,fossil_Miami_USA,62,POINT(-80.19772999999998 25.77481000000006),Area Mapping Mode
texmex013,campaign_texmex_amarillo_south01,63,POINT(-102.909702 34.502617),Area Mapping Mode
fossil0021,fossil_Samut_Prakan_Thailand,64,POINT(100.5968872263649 13.59946800439462),Area Mapping Mode
texmex014,campaign_texmex_amarillo_south02,65,POINT(-102.435868 34.673764),Area Mapping Mode
fossil0022,fossil_Paris_France,66,POINT(2.341400000000021 48.85717000000005),Area Mapping Mode
texmex015,campaign_texmex_amarillo_north01,67,POINT(-102.595969 36.112778),Area Mapping Mode
fossil0023,fossil_Dallas_USA,68,POINT(-96.79539999999997 32.77815000000004),Area Mapping Mode
texmex016,campaign_texmex_amarillo_north02,69,POINT(-102.131864 36.10232),Area Mapping Mode
fossil0024,fossil_Tianjin_China,70,POINT(117.1766700000001 39.14222000000007),Area Mapping Mode
texmex017,campaign_texmex_permian01b,71,POINT(-104.277874 32.72488),Area Mapping Mode
fossil0025,fossil_Istanbul_Turkey,72,POINT(28.94966000000005 41.01384000000007),Area Mapping Mode
fossil0026,fossil_Detroit_USA,73,POINT(-83.04799999999994 42.33168000000006),Area Mapping Mode
fossil0027,fossil_Philadelphia_USA,74,POINT(-75.16217999999998 39.95222000000007),Area Mapping Mode
fossil0028,fossil_San_Jose_USA,75,POINT(-121.88542 37.33865000000003),Area Mapping Mode
fossil0029,fossil_New_Delhi_India,76,POINT(77.21728000000007 28.63095000000004),Area Mapping Mode
fossil0030,fossil_Cologne_Germany,77,POINT(6.955160000000035 50.94167000000004),Area Mapping Mode
fossil0031,fossil_Houston_USA,78,POINT(-95.36967999999996 29.76058000000006),Area Mapping Mode
fossil0032,fossil_Jeddah_Saudi_Arabia,79,POINT(39.18279000000007 21.48172000000005),Area Mapping Mode
fossil0033,fossil_Washington_DC_USA,80,POINT(-77.03195999999997 38.89037000000008),Area Mapping Mode
fossil0034,fossil_Osaka_Japan,81,POINT(135.5021619520001 34.69372590900008),Area Mapping Mode
fossil0035,fossil_Buenos_Aires_Argentina,82,POINT(-58.37343999999996 -34.60848999999996),Area Mapping Mode
fossil0036,fossil_Mexico_City_Mexico,83,POINT(-99.13314999999994 19.43194000000005),Area Mapping Mode
fossil0037,fossil_Shah_Alam_Malaysia,84,POINT(101.4942800000001 3.091980000000035),Area Mapping Mode
fossil0038,fossil_Taipei_Taiwan,85,POINT(121.5635500000001 25.03737000000007),Area Mapping Mode
fossil0039,fossil_Phoenix_USA,86,POINT(-112.0758 33.44825000000003),Area Mapping Mode
fossil0040,fossil_Wuhan_China,87,POINT(114.3247200000001 30.64353000000006),Area Mapping Mode
fossil0041,fossil_Hangzhou_China,88,POINT(120.16142 30.29365000000007),Area Mapping Mode
fossil0042,fossil_Toronto_Canada,89,POINT(-79.38543999999996 43.64869000000004),Area Mapping Mode
fossil0043,fossil_Nanjing_China,90,POINT(118.77778 32.06167000000005),Area Mapping Mode
fossil0044,fossil_Shenyang_China,91,POINT(123.4327800000001 41.79222000000004),Area Mapping Mode
fossil0045,fossil_Melbourne_Australia,92,POINT(144.9671500000001 -37.81748999999996),Area Mapping Mode
fossil0046,fossil_Shantou_China,93,POINT(116.7147900000001 23.36814000000004),Area Mapping Mode
fossil0047,fossil_Madrid_Spain,94,POINT(-3.705769999999973 40.42028000000005),Area Mapping Mode
fossil0048,fossil_Kolkata_India,95,POINT(88.37124000000006 22.57054000000005),Area Mapping Mode
fossil0049,fossil_Pusan_South_Korea,96,POINT(129.0402800000001 35.31),Area Mapping Mode
fossil0050,fossil_Sydney_Australia,97,POINT(151.2069100000001 -33.86959999999993),Area Mapping Mode
fossil0051,fossil_Xian_China,98,POINT(108.92512 34.27050000000003),Area Mapping Mode
fossil0052,fossil_Chengdu_China,99,POINT(104.0758000000001 30.67190000000005),Area Mapping Mode
fossil0053,fossil_Huhot_China,100,POINT(118.54583 25.76444000000004),Area Mapping Mode
fossil0054,fossil_Boston_USA,101,POINT(-71.05673999999993 42.35866000000004),Area Mapping Mode
fossil0055,fossil_Baotou_China,102,POINT(109.8222200000001 40.65222000000006),Area Mapping Mode
fossil0056,fossil_Taiyuan_China,103,POINT(112.54952 37.88141000000007),Area Mapping Mode
fossil0057,fossil_Denver_USA,104,POINT(-104.99202 39.74001000000004),Area Mapping Mode
fossil0058,fossil_Athens_Greece,105,POINT(23.73640000000006 37.97614000000004),Area Mapping Mode
fossil0059,fossil_Atlanta_USA,106,POINT(-84.39110999999997 33.74831000000006),Area Mapping Mode
fossil0060,fossil_Seattle_USA,107,POINT(-122.32945 47.60357000000005),Area Mapping Mode
fossil0061,fossil_Yinchuan_China,108,POINT(106.2652100000001 38.46662000000003),Area Mapping Mode
fossil0062,fossil_Sao_Paulo_Brazil,109,POINT(-46.65467999999998 -23.56286999999998),Area Mapping Mode
fossil0063,fossil_Berlin_Germany,110,POINT(13.37691000000007 52.51604000000003),Area Mapping Mode
fossil0064,fossil_Minneapolis_USA,111,POINT(-93.26493999999997 44.97902000000005),Area Mapping Mode
fossil0065,fossil_Zhengzhou_China,112,POINT(113.6486100000001 34.75778000000003),Area Mapping Mode
fossil0066,fossil_Chongqing_China,113,POINT(106.55278 29.56278000000003),Area Mapping Mode
fossil0067,fossil_Doha_Qatar,114,POINT(51.51907000000006 25.29502000000008),Area Mapping Mode
fossil0068,fossil_Mumbai_India,115,POINT(72.83486000000005 18.94017000000002),Area Mapping Mode
fossil0069,fossil_Ad_Damman_Saudi_Arabia,116,POINT(50.06027000000006 26.44041000000004),Area Mapping Mode
fossil0070,fossil_Wenzhou_China,117,POINT(120.66682 27.99942000000004),Area Mapping Mode
fossil0071,fossil_Quanzhou_China,118,POINT(118.5805200000001 24.91197000000005),Area Mapping Mode
fossil0072,fossil_Brisbane_Australia,119,POINT(153.0233400000001 -27.46843999999993),Area Mapping Mode
fossil0073,fossil_Dalian_China,120,POINT(121.6022200000001 38.91222000000005),Area Mapping Mode
fossil0074,fossil_Tel_Aviv-Yafo_Israel,121,POINT(34.78953000000007 32.08556000000004),Area Mapping Mode
fossil0075,fossil_Milan_Italy,122,POINT(9.18178000000006 45.46796000000006),Area Mapping Mode
fossil0076,fossil_Abu_Dhabi_UAE,123,POINT(54.37173000000007 24.46918000000005),Area Mapping Mode
fossil0077,fossil_Ankara_Turkey,124,POINT(32.85391000000004 39.92109000000005),Area Mapping Mode
fossil0078,fossil_Qingdao_China,125,POINT(120.3719400000001 36.09861000000006),Area Mapping Mode
fossil0079,fossil_Nagoya_Japan,126,POINT(136.906683388 35.18142047000003),Area Mapping Mode
fossil0080,fossil_Montreal_Canada,127,POINT(-73.55468999999994 45.51240000000007),Area Mapping Mode
fossil0081,fossil_St_Louis_USA,128,POINT(-90.19955999999996 38.62775000000005),Area Mapping Mode
fossil0082,fossil_San_Diego_USA,129,POINT(-117.16171 32.71568000000008),Area Mapping Mode
fossil0083,fossil_Jinan_China,130,POINT(116.9972200000001 36.66833000000003),Area Mapping Mode
fossil0084,fossil_Santiago_Chile,131,POINT(-70.65001999999998 -33.43721999999997),Area Mapping Mode
fossil0085,fossil_Rotterdam_Netherlands,132,POINT(4.478480000000047 51.92282000000006),Area Mapping Mode
fossil0086,fossil_Cape_Town_South_Africa,133,POINT(18.42198000000008 -33.91908999999998),Area Mapping Mode
fossil0087,fossil_Hyderabad_India,134,POINT(78.47076000000004 17.39487000000003),Area Mapping Mode
fossil0088,fossil_Ho_Chi_Minh_City_Vietnam,135,POINT(106.70322 10.77822000000003),Area Mapping Mode
fossil0089,fossil_Barcelona_Spain,136,POINT(2.170010000000048 41.38804000000005),Area Mapping Mode
fossil0090,fossil_Baltimore_USA,137,POINT(-76.60925999999995 39.29058000000003),Area Mapping Mode
fossil0091,fossil_Changchun_China,138,POINT(125.3036800000001 43.88415000000003),Area Mapping Mode
fossil0092,fossil_Almaty_Kazakhstan,139,POINT(76.88814000000008 43.25066000000004),Area Mapping Mode
fossil0093,fossil_Birmingham_UK,140,POINT(-1.905919999999981 52.47891000000004),Area Mapping Mode
fossil0094,fossil_Hefei_China,141,POINT(117.28083 31.86389000000003),Area Mapping Mode
fossil0095,fossil_Shijiazhuang_China,142,POINT(114.4786100000001 38.04139000000004),Area Mapping Mode
fossil0096,fossil_Harbin_China,143,POINT(126.6395100000001 45.75553000000008),Area Mapping Mode
fossil0097,fossil_Cleveland_USA,144,POINT(-81.69073999999995 41.50473000000005),Area Mapping Mode
fossil0098,fossil_Fremantle_Australia,145,POINT(115.75351 -32.04731999999996),Area Mapping Mode
fossil0099,fossil_Durban_South_Africa,146,POINT(31.02590000000004 -29.84704999999997),Area Mapping Mode
fossil0100,fossil_Las_Vegas_USA,147,POINT(-115.14001 36.17193000000003),Area Mapping Mode
fossil0101,fossil_Lima_Peru,148,POINT(-77.02823999999998 -12.04317999999995),Area Mapping Mode
fossil0102,fossil_Mashhad_Iran,149,POINT(59.56796000000003 36.31559000000004),Area Mapping Mode
fossil0103,fossil_Kansas_City_USA,150,POINT(-94.58310999999998 39.10344000000003),Area Mapping Mode
fossil0104,fossil_Guiyang_China,151,POINT(106.69473 26.57242000000008),Area Mapping Mode
fossil0105,fossil_Chennai_India,152,POINT(80.28252000000003 13.08362000000005),Area Mapping Mode
fossil0106,fossil_Caracas_Venezuela,153,POINT(-66.87918999999994 10.48801000000003),Area Mapping Mode
fossil0107,fossil_Bangalore_India,154,POINT(77.58742000000007 12.96685000000002),Area Mapping Mode
fossil0108,fossil_Orlando_USA,155,POINT(-81.37738999999993 28.53823000000006),Area Mapping Mode
fossil0109,fossil_Baghdad_Iraq,156,POINT(44.39309000000003 33.34213000000005),Area Mapping Mode
fossil0110,fossil_Sacramento_USA,157,POINT(-121.49085 38.57944000000003),Area Mapping Mode
fossil0111,fossil_Bogota_Colombia,158,POINT(-74.06940999999995 4.614960000000053),Area Mapping Mode
fossil0112,fossil_Taegu_South_Korea,159,POINT(128.5911100000001 35.87028000000004),Area Mapping Mode
fossil0113,fossil_Urumqi_China,160,POINT(87.58627000000007 43.78787000000005),Area Mapping Mode
fossil0114,fossil_Vienna_Austria,161,POINT(16.36842000000007 48.20263000000006),Area Mapping Mode
fossil0115,fossil_Manila_Philippines,162,POINT(120.98454 14.58864000000005),Area Mapping Mode
fossil0116,fossil_Columbus_USA,163,POINT(-83.00274999999993 39.96199000000007),Area Mapping Mode
fossil0117,fossil_Esfahan_Iran,164,POINT(51.67761000000007 32.65722000000005),Area Mapping Mode
fossil0118,fossil_Portland_USA,165,POINT(-122.67563 45.51179000000008),Area Mapping Mode
fossil0119,fossil_Indianapolis_USA,166,POINT(-86.14995999999996 39.76691000000005),Area Mapping Mode
fossil0120,fossil_Zibo_China,167,POINT(118.0633300000001 36.79056000000003),Area Mapping Mode
fossil0121,fossil_San_Antonio_USA,168,POINT(-98.49460999999997 29.42458000000005),Area Mapping Mode
fossil0122,fossil_Taejon_South_Korea,169,POINT(127.1897200000001 36.08139000000006),Area Mapping Mode
fossil0123,fossil_Chifeng_China,170,POINT(118.9549300000001 42.27207000000004),Area Mapping Mode
fossil0124,fossil_Hamburg_Germany,171,POINT(9.99183000000005 53.55375000000004),Area Mapping Mode
fossil0125,fossil_Pune_India,172,POINT(73.85302000000007 18.50422000000003),Area Mapping Mode
fossil0126,fossil_Al_Ain_UAE,173,POINT(55.68635000000006 24.20739000000003),Area Mapping Mode
fossil0127,fossil_Mecca_Saudi_Arabia,174,POINT(39.82222000000007 21.42111000000006),Area Mapping Mode
fossil0128,fossil_Vancouver_Canada,175,POINT(-123.1133599999999 49.26038000000005),Area Mapping Mode
fossil0129,fossil_Datong_Shanxi_China,176,POINT(113.2913900000001 40.09361000000007),Area Mapping Mode
fossil0130,fossil_Xiamen_China,177,POINT(118.12774 24.54404000000005),Area Mapping Mode
fossil0131,fossil_Ningbo_China,178,POINT(121.53916 29.86569000000003),Area Mapping Mode
fossil0132,fossil_Taichung_Taiwan,179,POINT(120.6482100000001 24.16324000000003),Area Mapping Mode
fossil0133,fossil_Rio_de_Janeiro_Brazil,180,POINT(-43.17500999999993 -22.91215999999997),Area Mapping Mode
fossil0134,fossil_St_Petersburg_USA,181,POINT(-82.63875999999993 27.77119000000005),Area Mapping Mode
fossil0135,fossil_Monterrey_Mexico,182,POINT(-100.30999 25.67093000000006),Area Mapping Mode
fossil0136,fossil_Hanoi_Vietnam,183,POINT(105.8546400000001 21.02888000000007),Area Mapping Mode
fossil0137,fossil_Rome_Italy,184,POINT(12.49565000000007 41.90322000000003),Area Mapping Mode
fossil0138,fossil_New_Orleans_USA,185,POINT(-90.07774999999998 29.95370000000003),Area Mapping Mode
fossil0139,fossil_Al_Hofuf_Saudi_Arabia,186,POINT(49.58751000000007 25.36824000000007),Area Mapping Mode
fossil0140,fossil_Chios_Turkey,187,POINT(29.04675000000003 40.19208000000003),Area Mapping Mode
fossil0141,fossil_Naples_Italy,188,POINT(14.25226000000004 40.84014000000008),Area Mapping Mode
fossil0142,fossil_Guadalajara_Mexico,189,POINT(-103.35104 20.68758000000003),Area Mapping Mode
fossil0143,fossil_Kaoshsiung_Taiwan,190,POINT(120.31226 22.62014000000005),Area Mapping Mode
fossil0144,fossil_Dhaka_Bangladesh,191,POINT(90.39957000000004 23.71323000000007),Area Mapping Mode
fossil0145,fossil_Calgary_Canada,192,POINT(-114.06301 51.04532000000006),Area Mapping Mode
fossil0146,fossil_Pittsburgh_USA,193,POINT(-79.99733999999995 40.43851000000006),Area Mapping Mode
fossil0147,fossil_Austin_USA,194,POINT(-97.74298999999996 30.26759000000004),Area Mapping Mode
fossil0148,fossil_Amman_Jordan,195,POINT(35.94042000000007 31.95180000000005),Area Mapping Mode
fossil0149,fossil_Salt_Lake_City_USA,196,POINT(-111.88822 40.76031000000006),Area Mapping Mode
fossil0150,fossil_Medina_Saudi_Arabia,197,POINT(39.60641000000004 24.46728000000007),Area Mapping Mode
fossil0151,fossil_Adelaide_Australia,198,POINT(138.5998000000001 -34.92584999999997),Area Mapping Mode
fossil0152,fossil_Warsaw_Poland,199,POINT(21.01037000000002 52.23560000000003),Area Mapping Mode
fossil0153,fossil_Omsk_Russia,200,POINT(73.36476000000005 54.99471000000005),Area Mapping Mode
fossil0154,fossil_Astana_Kazakhstan,201,POINT(71.42830000000004 51.12771000000004),Area Mapping Mode
fossil0155,fossil_Maebashi_Japan,202,POINT(139.0634184300001 36.38949739100008),Area Mapping Mode
fossil0156,fossil_Tabriz_Iran,203,POINT(46.29190000000006 38.08000000000004),Area Mapping Mode
fossil0157,fossil_Ahmadabad_India,204,POINT(72.60025000000007 23.02777000000003),Area Mapping Mode
fossil0158,fossil_Sohag_Egypt,205,POINT(31.69545000000005 26.55513000000008),Area Mapping Mode
fossil0159,fossil_Munich_Germany,206,POINT(11.57754000000006 48.13641000000007),Area Mapping Mode
fossil0160,fossil_Ahvaz_Iran,207,POINT(48.66930000000008 31.32030000000003),Area Mapping Mode
fossil0161,fossil_Baabda_Lebanon,208,POINT(35.96785000000006 34.51451000000003),Area Mapping Mode
fossil0162,fossil_Rostov-on-Don_Russia,209,POINT(39.71676000000008 47.22691000000003),Area Mapping Mode
fossil0163,fossil_Prague_Czech_Republic,210,POINT(14.43302000000006 50.07913000000008),Area Mapping Mode
fossil0164,fossil_San_Cristobal_Dominican_Republic,211,POINT(-70.09999999999997 18.41667000000007),Area Mapping Mode
fossil0165,fossil_Amsterdam_Netherlands,212,POINT(4.907880000000034 52.36993000000007),Area Mapping Mode
fossil0166,fossil_Bucharest_Romania,213,POINT(26.10298000000006 44.43429000000003),Area Mapping Mode
fossil0167,fossil_Maracaibo_Venezuela,214,POINT(-71.59756999999996 10.68769000000003),Area Mapping Mode
fossil0168,fossil_Lahore_Pakistan,215,POINT(74.34361000000007 31.54972000000004),Area Mapping Mode
fossil0169,fossil_Budapest_Hungary,216,POINT(19.05508000000003 47.49972000000008),Area Mapping Mode
fossil0170,fossil_Ashgabat_Turkmenistan,217,POINT(58.38333000000006 37.95000000000005),Area Mapping Mode
fossil0171,fossil_Brussels_Belgium,218,POINT(4.356090000000052 50.84439000000003),Area Mapping Mode
fossil0172,fossil_Katowice_Poland,219,POINT(19.03105000000005 50.25641000000007),Area Mapping Mode
fossil0173,fossil_Kuybyskev_Russia,220,POINT(50.15000000000003 53.20006000000006),Area Mapping Mode
fossil0174,fossil_Karachi_Pakistan,221,POINT(67.08220000000006 24.90560000000005),Area Mapping Mode
fossil0175,fossil_Lagos_Nigeria,222,POINT(3.388760000000048 6.454710000000034),Area Mapping Mode
fossil0176,fossil_Luanda_Angola,223,POINT(13.23288000000002 -8.81565999999998),Area Mapping Mode
fossil0177,fossil_Peshawar_Pakistan,224,POINT(71.57849000000004 34.00800000000004),Area Mapping Mode
fossil0178,fossil_Khartoum_Sudan,225,POINT(32.5599 15.5007),Area Mapping Mode
fossil0179,fossil_Nairobi_Kenya,226,POINT(36.8219 -1.2921),Area Mapping Mode
fossil0180,fossil_Miller_Power_Plant_USA,227,POINT(-87.12 33.64),Area Mapping Mode
fossil0181,fossil_Tutuka_and_Majuba_Powerplant,228,POINT(29.56 -29.95),Area Mapping Mode
fossil0182,fossil_Janschwalde_Germany,229,POINT(14.5 51.62),Area Mapping Mode
sif_niwot,sif_Niwot_Ridge_Colorado_USA,230,POINT(-105.5464 40.0329),Area Mapping Mode
sif_umb,sif_University_of_Michigan_USA,231,POINT(-84.7138 45.5598),Area Mapping Mode
sif_obs,sif_obs,232,POINT(105.1178 53.9872),Area Mapping Mode
sif_laselva,sif_La_Selva_Costa_Rica,233,POINT(-84.0211 10.4333),Area Mapping Mode
sif_hrv,sif_Harvard_Forest_USA,234,POINT(-72.1715 42.5378),Area Mapping Mode
sif_uva,sif_University_of_Virginia_USA,235,POINT(-78.2739 37.9229),Area Mapping Mode
sif_mpj,sif_Pinyon_Juniper_USA,236,POINT(-106.2377 35.4385),Area Mapping Mode
sif_santarita,sif_Santa_Rita_Cluster_USA,237,POINT(-110.84 31.8214),Area Mapping Mode
sif_mead,sif_Mead_Cluster_USA,238,POINT(-96.455 41.1649),Area Mapping Mode
sif_oko,sif_KAEFS_USA,239,POINT(-97.5223 34.9846),Area Mapping Mode
sif_mzo,sif_Ozark_USA,240,POINT(-92.2 38.7441),Area Mapping Mode
sif_jro,sif_Jurong_Korea,241,POINT(119.2173 31.8068),Area Mapping Mode
sif_shq,sif_shq,242,POINT(115.5894 34.5203),Area Mapping Mode
sif_atto,sif_ATTO_Tower_Manaus_Brazil,243,POINT(-59.0056 2.1459),Area Mapping Mode
ecostress_de_rus,ecostress_de_rus,244,POINT(6.4472 50.8659),Area Mapping Mode
ecostress_ca_tp,ecostress_ca_tp,245,POINT(-80.431 42.713075),Area Mapping Mode
ecostress_us_bar,ecostress_us_bar,246,POINT(-71.28808000000001 44.0646),Area Mapping Mode
ecostress_us_los,ecostress_us_los,247,POINT(-89.9792 46.0827),Area Mapping Mode
ecostress_us_syv,ecostress_us_syv,248,POINT(-89.3477 46.242),Area Mapping Mode
ecostress_us_cs1,ecostress_us_cs1,249,POINT(-89.53785500000001 44.103051),Area Mapping Mode
ecostress_us_men,ecostress_us_men,250,POINT(-89.402984 43.07725),Area Mapping Mode
ecostress_cr_srnp_emss,ecostress_cr_srnp_emss,251,POINT(-85.6156 10.8418),Area Mapping Mode
ecostress_ca_pr_emss,ecostress_ca_pr_emss,252,POINT(-118.344 56.7438),Area Mapping Mode
ecostress_ne_waf,ecostress_ne_waf,253,POINT(2.63368891 13.64758138),Area Mapping Mode
ecostress_us_me2,ecostress_us_me2,254,POINT(-121.557 44.4523),Area Mapping Mode
ecostress_us_wpp,ecostress_us_wpp,255,POINT(-123.182 44.1368),Area Mapping Mode
ecostress_us_wwt,ecostress_us_wwt,256,POINT(-122.666 45.1089),Area Mapping Mode
ecostress_us_mrf,ecostress_us_mrf,257,POINT(-123.551 44.6465),Area Mapping Mode
ecostress_us_bsg,ecostress_us_bsg,258,POINT(-119.6909 43.4712),Area Mapping Mode
ecostress_us_tx2,ecostress_us_tx2,259,POINT(-96.8827 31.4802),Area Mapping Mode
ecostress_us_tx5,ecostress_us_tx5,260,POINT(-96.4252 30.5328),Area Mapping Mode
ecostress_us_tx6,ecostress_us_tx6,261,POINT(-98.2089 27.6666),Area Mapping Mode
ecostress_us_tx9,ecostress_us_tx9,262,POINT(-95.614367 28.780508),Area Mapping Mode
ecostress_be_vie,ecostress_be_vie,263,POINT(4.746112999999999 50.55184000000001),Area Mapping Mode
ecostress_be_lon,ecostress_be_lon,264,POINT(5.9981 50.305),Area Mapping Mode
ecostress_de_tha,ecostress_de_tha,265,POINT(13.56516 50.96235),Area Mapping Mode
ecostress_il_yat,ecostress_il_yat,266,POINT(35.0519 31.3451),Area Mapping Mode
ecostress_nz_sco,ecostress_nz_sco,267,POINT(175.22 -37.46),Area Mapping Mode
ecostress_nz_oxf,ecostress_nz_oxf,268,POINT(172.2108 -43.2619),Area Mapping Mode
ecostress_nz_kop,ecostress_nz_kop,269,POINT(175.554 -37.38800000000001),Area Mapping Mode
ecostress_nz_bfm,ecostress_nz_bfm,270,POINT(171.928 -43.593),Area Mapping Mode
